AREAID,NAMECN,CITYID,DISTRICTCN,PROVID,PROVCN
101010100,北京,1010101,北京,10101,北京
101010200,海淀,1010102,北京,10101,北京
101010300,朝阳,1010103,北京,10101,北京
101010400,顺义,1010104,北京,10101,北京
101010500,怀柔,1010105,北京,10101,北京
101010600,通州,1010106,北京,10101,北京
101010700,昌平,1010107,北京,10101,北京
101010800,延庆,1010108,北京,10101,北京
101010900,丰台,1010109,北京,10101,北京
101011000,石景山,1010110,北京,10101,北京
101011100,大兴,1010111,北京,10101,北京
101011200,房山,1010112,北京,10101,北京
101011300,密云,1010113,北京,10101,北京
101011400,门头沟,1010114,北京,10101,北京
101011500,平谷,1010115,北京,10101,北京
101020100,上海,1010201,上海,10102,上海
101020200,闵行,1010202,上海,10102,上海
101020300,宝山,1010203,上海,10102,上海
101020500,嘉定,1010205,上海,10102,上海
101020600,浦东新区,1010206,上海,10102,上海
101020700,金山,1010207,上海,10102,上海
101020800,青浦,1010208,上海,10102,上海
101020900,松江,1010209,上海,10102,上海
101021000,奉贤,1010210,上海,10102,上海
101021100,崇明,1010211,上海,10102,上海
101021200,徐汇,1010212,上海,10102,上海
101030100,天津,1010301,天津,10103,天津
101030200,武清,1010302,天津,10103,天津
101030300,宝坻,1010303,天津,10103,天津
101030400,东丽,1010304,天津,10103,天津
101030500,西青,1010305,天津,10103,天津
101030600,北辰,1010306,天津,10103,天津
101030700,宁河,1010307,天津,10103,天津
101030900,静海,1010309,天津,10103,天津
101031000,津南,1010310,天津,10103,天津
101031100,滨海新区,1010311,天津,10103,天津
101031400,蓟县,1010314,天津,10103,天津
101040100,重庆,1010401,重庆,10104,重庆
101040200,永川,1010402,重庆,10104,重庆
101040300,合川,1010403,重庆,10104,重庆
101040400,南川,1010404,重庆,10104,重庆
101040500,江津,1010405,重庆,10104,重庆
101040600,万盛,1010406,重庆,10104,重庆
101040700,渝北,1010407,重庆,10104,重庆
101040800,北碚,1010408,重庆,10104,重庆
101040900,巴南,1010409,重庆,10104,重庆
101041000,长寿,1010410,重庆,10104,重庆
101041100,黔江,1010411,重庆,10104,重庆
101041300,万州,1010413,重庆,10104,重庆
101041400,涪陵,1010414,重庆,10104,重庆
101041500,开县,1010415,重庆,10104,重庆
101041600,城口,1010416,重庆,10104,重庆
101041700,云阳,1010417,重庆,10104,重庆
101041800,巫溪,1010418,重庆,10104,重庆
101041900,奉节,1010419,重庆,10104,重庆
101042000,巫山,1010420,重庆,10104,重庆
101042100,潼南,1010421,重庆,10104,重庆
101042200,垫江,1010422,重庆,10104,重庆
101042300,梁平,1010423,重庆,10104,重庆
101042400,忠县,1010424,重庆,10104,重庆
101042500,石柱,1010425,重庆,10104,重庆
101042600,大足,1010426,重庆,10104,重庆
101042700,荣昌,1010427,重庆,10104,重庆
101042800,铜梁,1010428,重庆,10104,重庆
101042900,璧山,1010429,重庆,10104,重庆
101043000,丰都,1010430,重庆,10104,重庆
101043100,武隆,1010431,重庆,10104,重庆
101043200,彭水,1010432,重庆,10104,重庆
101043300,綦江,1010433,重庆,10104,重庆
101043400,酉阳,1010434,重庆,10104,重庆
101043600,秀山,1010436,重庆,10104,重庆
101050101,哈尔滨,1010501,哈尔滨,10105,黑龙江
101050102,双城,1010501,哈尔滨,10105,黑龙江
101050103,呼兰,1010501,哈尔滨,10105,黑龙江
101050104,阿城,1010501,哈尔滨,10105,黑龙江
101050105,宾县,1010501,哈尔滨,10105,黑龙江
101050106,依兰,1010501,哈尔滨,10105,黑龙江
101050107,巴彦,1010501,哈尔滨,10105,黑龙江
101050108,通河,1010501,哈尔滨,10105,黑龙江
101050109,方正,1010501,哈尔滨,10105,黑龙江
101050110,延寿,1010501,哈尔滨,10105,黑龙江
101050111,尚志,1010501,哈尔滨,10105,黑龙江
101050112,五常,1010501,哈尔滨,10105,黑龙江
101050113,木兰,1010501,哈尔滨,10105,黑龙江
101050201,齐齐哈尔,1010502,齐齐哈尔,10105,黑龙江
101050202,讷河,1010502,齐齐哈尔,10105,黑龙江
101050203,龙江,1010502,齐齐哈尔,10105,黑龙江
101050204,甘南,1010502,齐齐哈尔,10105,黑龙江
101050205,富裕,1010502,齐齐哈尔,10105,黑龙江
101050206,依安,1010502,齐齐哈尔,10105,黑龙江
101050207,拜泉,1010502,齐齐哈尔,10105,黑龙江
101050208,克山,1010502,齐齐哈尔,10105,黑龙江
101050209,克东,1010502,齐齐哈尔,10105,黑龙江
101050210,泰来,1010502,齐齐哈尔,10105,黑龙江
101050301,牡丹江,1010503,牡丹江,10105,黑龙江
101050302,海林,1010503,牡丹江,10105,黑龙江
101050303,穆棱,1010503,牡丹江,10105,黑龙江
101050304,林口,1010503,牡丹江,10105,黑龙江
101050305,绥芬河,1010503,牡丹江,10105,黑龙江
101050306,宁安,1010503,牡丹江,10105,黑龙江
101050307,东宁,1010503,牡丹江,10105,黑龙江
101050401,佳木斯,1010504,佳木斯,10105,黑龙江
101050402,汤原,1010504,佳木斯,10105,黑龙江
101050403,抚远,1010504,佳木斯,10105,黑龙江
101050404,桦川,1010504,佳木斯,10105,黑龙江
101050405,桦南,1010504,佳木斯,10105,黑龙江
101050406,同江,1010504,佳木斯,10105,黑龙江
101050407,富锦,1010504,佳木斯,10105,黑龙江
101050501,绥化,1010505,绥化,10105,黑龙江
101050502,肇东,1010505,绥化,10105,黑龙江
101050503,安达,1010505,绥化,10105,黑龙江
101050504,海伦,1010505,绥化,10105,黑龙江
101050505,明水,1010505,绥化,10105,黑龙江
101050506,望奎,1010505,绥化,10105,黑龙江
101050507,兰西,1010505,绥化,10105,黑龙江
101050508,青冈,1010505,绥化,10105,黑龙江
101050509,庆安,1010505,绥化,10105,黑龙江
101050510,绥棱,1010505,绥化,10105,黑龙江
101050601,黑河,1010506,黑河,10105,黑龙江
101050602,嫩江,1010506,黑河,10105,黑龙江
101050603,孙吴,1010506,黑河,10105,黑龙江
101050604,逊克,1010506,黑河,10105,黑龙江
101050605,五大连池,1010506,黑河,10105,黑龙江
101050606,北安,1010506,黑河,10105,黑龙江
101050701,大兴安岭,1010507,大兴安岭,10105,黑龙江
101050702,塔河,1010507,大兴安岭,10105,黑龙江
101050703,漠河,1010507,大兴安岭,10105,黑龙江
101050704,呼玛,1010507,大兴安岭,10105,黑龙江
101050705,呼中,1010507,大兴安岭,10105,黑龙江
101050706,新林,1010507,大兴安岭,10105,黑龙江
101050708,加格达奇,1010507,大兴安岭,10105,黑龙江
101050801,伊春,1010508,伊春,10105,黑龙江
101050802,乌伊岭,1010508,伊春,10105,黑龙江
101050803,五营,1010508,伊春,10105,黑龙江
101050804,铁力,1010508,伊春,10105,黑龙江
101050805,嘉荫,1010508,伊春,10105,黑龙江
101050901,大庆,1010509,大庆,10105,黑龙江
101050902,林甸,1010509,大庆,10105,黑龙江
101050903,肇州,1010509,大庆,10105,黑龙江
101050904,肇源,1010509,大庆,10105,黑龙江
101050905,杜尔伯特,1010509,大庆,10105,黑龙江
101051002,七台河,1010510,七台河,10105,黑龙江
101051003,勃利,1010510,七台河,10105,黑龙江
101051101,鸡西,1010511,鸡西,10105,黑龙江
101051102,虎林,1010511,鸡西,10105,黑龙江
101051103,密山,1010511,鸡西,10105,黑龙江
101051104,鸡东,1010511,鸡西,10105,黑龙江
101051201,鹤岗,1010512,鹤岗,10105,黑龙江
101051202,绥滨,1010512,鹤岗,10105,黑龙江
101051203,萝北,1010512,鹤岗,10105,黑龙江
101051301,双鸭山,1010513,双鸭山,10105,黑龙江
101051302,集贤,1010513,双鸭山,10105,黑龙江
101051303,宝清,1010513,双鸭山,10105,黑龙江
101051304,饶河,1010513,双鸭山,10105,黑龙江
101051305,友谊,1010513,双鸭山,10105,黑龙江
101060101,长春,1010601,长春,10106,吉林
101060102,农安,1010601,长春,10106,吉林
101060103,德惠,1010601,长春,10106,吉林
101060104,九台,1010601,长春,10106,吉林
101060105,榆树,1010601,长春,10106,吉林
101060106,双阳,1010601,长春,10106,吉林
101060201,吉林,1010602,吉林,10106,吉林
101060202,舒兰,1010602,吉林,10106,吉林
101060203,永吉,1010602,吉林,10106,吉林
101060204,蛟河,1010602,吉林,10106,吉林
101060205,磐石,1010602,吉林,10106,吉林
101060206,桦甸,1010602,吉林,10106,吉林
101060301,延吉,1010603,延边,10106,吉林
101060302,敦化,1010603,延边,10106,吉林
101060303,安图,1010603,延边,10106,吉林
101060304,汪清,1010603,延边,10106,吉林
101060305,和龙,1010603,延边,10106,吉林
101060307,龙井,1010603,延边,10106,吉林
101060308,珲春,1010603,延边,10106,吉林
101060309,图们,1010603,延边,10106,吉林
101060401,四平,1010604,四平,10106,吉林
101060402,双辽,1010604,四平,10106,吉林
101060403,梨树,1010604,四平,10106,吉林
101060404,公主岭,1010604,四平,10106,吉林
101060405,伊通,1010604,四平,10106,吉林
101060501,通化,1010605,通化,10106,吉林
101060502,梅河口,1010605,通化,10106,吉林
101060503,柳河,1010605,通化,10106,吉林
101060504,辉南,1010605,通化,10106,吉林
101060505,集安,1010605,通化,10106,吉林
101060506,通化县,1010605,通化,10106,吉林
101060601,白城,1010606,白城,10106,吉林
101060602,洮南,1010606,白城,10106,吉林
101060603,大安,1010606,白城,10106,吉林
101060604,镇赉,1010606,白城,10106,吉林
101060605,通榆,1010606,白城,10106,吉林
101060701,辽源,1010607,辽源,10106,吉林
101060702,东丰,1010607,辽源,10106,吉林
101060703,东辽,1010607,辽源,10106,吉林
101060801,松原,1010608,松原,10106,吉林
101060802,乾安,1010608,松原,10106,吉林
101060803,前郭,1010608,松原,10106,吉林
101060804,长岭,1010608,松原,10106,吉林
101060805,扶余,1010608,松原,10106,吉林
101060901,白山,1010609,白山,10106,吉林
101060902,靖宇,1010609,白山,10106,吉林
101060903,临江,1010609,白山,10106,吉林
101060904,东岗,1010609,白山,10106,吉林
101060905,长白,1010609,白山,10106,吉林
101060906,抚松,1010609,白山,10106,吉林
101060907,江源,1010609,白山,10106,吉林
101070101,沈阳,1010701,沈阳,10107,辽宁
101070103,辽中,1010701,沈阳,10107,辽宁
101070104,康平,1010701,沈阳,10107,辽宁
101070105,法库,1010701,沈阳,10107,辽宁
101070106,新民,1010701,沈阳,10107,辽宁
101070201,大连,1010702,大连,10107,辽宁
101070202,瓦房店,1010702,大连,10107,辽宁
101070203,金州,1010702,大连,10107,辽宁
101070204,普兰店,1010702,大连,10107,辽宁
101070205,旅顺,1010702,大连,10107,辽宁
101070206,长海,1010702,大连,10107,辽宁
101070207,庄河,1010702,大连,10107,辽宁
101070301,鞍山,1010703,鞍山,10107,辽宁
101070302,台安,1010703,鞍山,10107,辽宁
101070303,岫岩,1010703,鞍山,10107,辽宁
101070304,海城,1010703,鞍山,10107,辽宁
101070401,抚顺,1010704,抚顺,10107,辽宁
101070402,新宾,1010704,抚顺,10107,辽宁
101070403,清原,1010704,抚顺,10107,辽宁
101070404,章党,1010704,抚顺,10107,辽宁
101070501,本溪,1010705,本溪,10107,辽宁
101070502,本溪县,1010705,本溪,10107,辽宁
